PortalMunicipalityCode,PortalMunicipalityDescription,OtherKey
901,Aleppo,ALEPPO TOWNSHIP
801,Aspinwall,ASPINWALL BOROUGH
802,Avalon,AVALON BOROUGH
877,Baldwin Boro,BALDWIN BOROUGH
902,Baldwin Twp,BALDWIN TOWNSHIP
883,Bell Acres,BELL ACRES BOROUGH
803,Bellevue,BELLEVUE BOROUGH
804,Ben Avon,BEN AVON BOROUGH
805,Ben Avon Heights,BEN AVON HEIGHTS BOROUGH
876,Bethel Park,BETHEL PARK MUNICIPALITY
806,Blawnox,BLAWNOX BOROUGH
807,Brackenridge,BRACKENRIDGE BOROUGH
808,Braddock,BRADDOCK BOROUGH
872,Braddock Hills,BRADDOCK HILLS BOROUGH
809,Bradford Woods,BRADFORD WOODS BOROUGH
810,Brentwood,BRENTWOOD BOROUGH
811,Bridgeville,BRIDGEVILLE BOROUGH
812,Carnegie,CARNEGIE BOROUGH
813,Castle Shannon,CASTLE SHANNON BOROUGH
814,Chalfant
815,Cheswick
816,Churchill
2,Clairton - All Wards
201,Clairton - 1st Ward
202,Clairton - 2nd Ward
905,Collier
817,Coraopolis
818,Crafton
906,Crescent
819,Dormont
820,Dravosburg
3,Duquesne - All Wards
301,Duquesne - 1st Ward
302,Duquesne - 2nd Ward
303,Duquesne - 3rd Ward
907,East Deer
821,East McKeesport
822,East Pittsburgh
823,Edgewood
824,Edgeworth
825,Elizabeth Boro
908,Elizabeth Twp
826,Emsworth
827,Etna
909,Fawn
910,Findlay
828,Forest Hills
911,Forward
868,Fox Chapel
884,Franklin Park
913,Frazer
829,Glassport
846,Glen Osborne
830,Glenfield
831,Green Tree
914,Hampton
915,Harmar
916,Harrison
832,Haysville
833,Heidelberg
834,Homestead
917,Indiana
835,Ingram
878,Jefferson Hills
919,Kennedy
920,Kilbuck
921,Leet
836,Leetsdale
837,Liberty
881,Lincoln
923,Marshall
927,McCandless
841,McDonald
842,McKees Rocks
4,McKeesport - All Wards
401,McKeesport - 1st Ward
402,McKeesport - 2nd Ward
403,McKeesport - 3rd Ward
404,McKeesport - 4th Ward
405,McKeesport - 5th Ward
406,McKeesport - 6th Ward
407,McKeesport - 7th Ward
408,McKeesport - 8th Ward
409,McKeesport - 9th Ward
410,McKeesport - 10th Ward
411,McKeesport - 11th Ward
412,McKeesport - 12th Ward
838,Millvale
879,Monroeville
925,Moon
926,Mt. Lebanon
839,Mt. Oliver
840,Munhall
928,Neville
843,North Braddock
929,North Fayette
930,North Versailles
844,Oakdale
845,Oakmont
931,O'Hara
932,Ohio
934,Penn Hills
871,Pennsbury Village
935,Pine
847,Pitcairn
1,Pittsburgh - All Wards
101,Pittsburgh - 1st Ward
102,Pittsburgh - 2nd Ward
103,Pittsburgh - 3rd Ward
104,Pittsburgh - 4th Ward
105,Pittsburgh - 5th Ward
106,Pittsburgh - 6th Ward
107,Pittsburgh - 7th Ward
108,Pittsburgh - 8th Ward
109,Pittsburgh - 9th Ward
110,Pittsburgh - 10th Ward
111,Pittsburgh - 11th Ward
112,Pittsburgh - 12th Ward
113,Pittsburgh - 13th Ward
114,Pittsburgh - 14th Ward
115,Pittsburgh - 15th Ward
116,Pittsburgh - 16th Ward
117,Pittsburgh - 17th Ward
118,Pittsburgh - 18th Ward
119,Pittsburgh - 19th Ward
120,Pittsburgh - 20th Ward
121,Pittsburgh - 21st Ward
122,Pittsburgh - 22nd Ward
123,Pittsburgh - 23rd Ward
124,Pittsburgh - 24th Ward
125,Pittsburgh - 25th Ward
126,Pittsburgh - 26th Ward
127,Pittsburgh - 27th Ward
128,Pittsburgh - 28th Ward
129,Pittsburgh - 29th Ward
130,Pittsburgh - 30th Ward
131,Pittsburgh - 31st Ward
132,Pittsburgh - 32nd Ward
873,Pleasant Hills
880,Plum
848,Port Vue
849,Rankin
937,Reserve
938,Richland
939,Robinson
940,Ross
850,Rosslyn Farms
941,Scott
851,Sewickley
869,Sewickley Heights
882,Sewickley Hills
944,Shaler
852,Sharpsburg
946,South Fayette
945,South Park
947,South Versailles
853,Springdale Boro
948,Springdale Twp
949,Stowe
854,Swissvale
855,Tarentum
856,Thornburg
857,Trafford
858,Turtle Creek
950,Upper St. Clair
859,Verona
860,Versailles
861,Wall
862,West Elizabeth
952,West Deer
863,West Homestead
870,West Mifflin
864,West View
865,Whitaker
875,White Oak
874,Whitehall
953,Wilkins
866,Wilkinsburg
867,Wilmerding